[2026-05-12T14:28:55.880629] 127.0.0.1 - / - Mozilla/5.0 (compatible; Google-Apps-Script; beanserver; +https://script.google.com; id: UAEmdDd_yADRXXJ1uPA5UlnCeEeM7Jbf_ig)
[2026-05-12T14:28:59.133556] 127.0.0.1 - /favicon.ico - Mozilla/5.0 (compatible; Google-Apps-Script; beanserver; +https://script.google.com; id: UAEmdDd9NR6IIqIuWksM08BKWVf5wwnEY3Q)
[2026-05-12 16:52:34] 127.0.0.1 | Mozilla/5.0 (compatible; Google-Apps-Script; beanserver; +https://script.google. | Referer: direct | Path: /
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:115.0) Gecko/20100101 Firefox/115.0 | Referer: direct | Path: /blog
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)  | Referer: direct | Path: /feed
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:118.0) Gecko/20100101 Firefox/118.0 | Referer: direct | Path: /sitemap.xml
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) | Referer: direct | Path: /
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)  | Referer: direct | Path: /.env
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:115.0) Gecko/20100101 Firefox/115.0 | Referer: direct | Path: /categories
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko)  | Referer: direct | Path: /about
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHT | Referer: direct | Path: /index.html
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like  | Referer: direct | Path: /api/v1/status?cachebuster_3412=355973&cachebuster_5796=304184&cachebuster_6770=585408&cachebuster_9448=908033
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:118.0) Gecko/20100101 Firefox/118.0 | Referer: direct | Path: /analytics
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like  | Referer: direct | Path: /signup
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:118.0) Gecko/20100101 Firefox/118.0 | Referer: direct | Path: /wp-admin/
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/11 | Referer: direct | Path: /sitemap.xml
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chro | Referer: direct | Path: /products?cachebuster_7670=557502&cachebuster_9966=358636&cachebuster_3918=987201&cachebuster_1618=373762&cachebuster_9286=402894&cachebuster_7649=390533
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/11 | Referer: direct | Path: /oauth/token
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:119.0) Gecko/20100101 Firefox/1 | Referer: direct | Path: /products
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like  | Referer: direct | Path: /products
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:119.0) Gecko/20100101 Firefox/119.0 | Referer: direct | Path: /status
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHT | Referer: direct | Path: /js/app.js
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) | Referer: direct | Path: /news
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:78.0) Gecko/20100101 Firefox/78 | Referer: direct | Path: /.env
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:118.0) Gecko/20100101 Firefox/118.0 | Referer: direct | Path: /wp-content/
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like  | Referer: direct | Path: /graphql?cachebuster_5722=988938&cachebuster_1149=774698&cachebuster_3189=441969&cachebuster_2437=199016
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/12 | Referer: direct | Path: /sitemap.xml
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHT | Referer: direct | Path: /api/v1/auth
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) | Referer: direct | Path: /status
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) | Referer: direct | Path: /status
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHT | Referer: direct | Path: /news
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) | Referer: direct | Path: /api/v1/status
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) | Referer: direct | Path: /sitemap.xml
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like  | Referer: direct | Path: /version
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:118.0) Gecko/20100101 Firefox/118.0 | Referer: direct | Path: /index.html
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko)  | Referer: direct | Path: /analytics
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) | Referer: direct | Path: /wp-admin/?cachebuster_4336=466307&cachebuster_5382=848206&cachebuster_1699=506630&cachebuster_3775=896530&cachebuster_4836=210474&cachebuster_5241=118159
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:78.0) Gecko/20100101 Firefox/78 | Referer: direct | Path: /categories?cachebuster_6611=371390&cachebuster_7788=616131&cachebuster_9758=850225&cachebuster_9407=894525&cachebuster_9726=885806&cachebuster_4284=588316&cachebuster_6478=157926
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Linux; Android 13; SM-S908B) AppleWebKit/537.36 (KHTML, like Gecko) | Referer: direct | Path: /blog
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Linux; Android 13; SM-S908B) AppleWebKit/537.36 (KHTML, like Gecko) | Referer: direct | Path: /index.html
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like  | Referer: direct | Path: /health
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:120.0) Gecko/20100101 Firefox/120.0 | Referer: direct | Path: /metrics
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Linux; Android 12; Pixel 6) AppleWebKit/537.36 (KHTML, like Gecko)  | Referer: direct | Path: /wp-admin/
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Linux; Android 12; Pixel 6) AppleWebKit/537.36 (KHTML, like Gecko)  | Referer: direct | Path: /status
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:115.0) Gecko/20100101 Firefox/115.0 | Referer: direct | Path: /status
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)  | Referer: direct | Path: /config
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko)  | Referer: direct | Path: /signup
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like  | Referer: direct | Path: /robots.txt
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like  | Referer: direct | Path: /wp-content/
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (compatible; Bingbot/2.0; +http://www.bing.com/bingbot.htm) | Referer: direct | Path: /metrics
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) | Referer: direct | Path: /favicon.ico
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) | Referer: direct | Path: /robots.txt
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko | Referer: direct | Path: /favicon.ico
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like  | Referer: direct | Path: /api/v1/auth
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like  | Referer: direct | Path: /about
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:120.0) Gecko/20100101 Firefox/1 | Referer: direct | Path: /signup?cachebuster_1987=121864&cachebuster_1675=927463&cachebuster_8754=597683&cachebuster_1489=375239&cachebuster_9092=968924
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html) | Referer: direct | Path: /home
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:119.0) Gecko/20100101 Firefox/119.0 | Referer: direct | Path: /blog
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118. | Referer: direct | Path: /analytics?cachebuster_2875=932345&cachebuster_5902=663466&cachebuster_6885=770690
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:115.0) Gecko/20100101 Firefox/115.0 | Referer: direct | Path: /signup
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:115.0) Gecko/20100101 Firefox/115.0 | Referer: direct | Path: /news
[2026-05-12 17:09:32] 127.0.0.1 | Mozilla/5.0 (Linux; Android 13; SM-S908B) AppleWebKit/537.36 (KHTML, like Gecko) | Referer: direct | Path: /stats
